id;time;x;y;z
1522;1708636146416;-0.04755735;0.34067813;9.91496
1523;1708636146619;-0.052043892;0.33918262;9.917951
1524;1708636146816;-0.04965107;0.34037903;9.912866
1525;1708636147019;-0.05174479;0.34157544;9.915258
1526;1708636147219;-0.052043892;0.34217364;9.916755
1527;1708636147417;-0.052043892;0.34366915;9.91825
1528;1708636147619;-0.050847482;0.34097722;9.916455
1529;1708636147820;-0.054137614;0.33918262;9.91466
1530;1708636148018;-0.052043892;0.34217364;9.916455
1531;1708636148216;-0.053240303;0.34097722;9.916455
1532;1708636148417;-0.051445685;0.34037903;9.915558
1533;1708636148617;-0.054735817;0.3394817;9.915258
1534;1708636148819;-0.05174479;0.34157544;9.917053
1535;1708636149020;-0.052342996;0.34037903;9.915558
1536;1708636149216;-0.05383851;0.3376871;9.915258
1537;1708636149420;-0.051445685;0.34127632;9.915857
1538;1708636149619;-0.050249275;0.3385844;9.9140625
1539;1708636149816;-0.051445685;0.34067813;9.915857
1540;1708636150019;-0.053240303;0.33918262;9.916755
1541;1708636150217;-0.054436713;0.34247273;9.913763
1542;1708636150418;-0.054137614;0.34097722;9.917053
1543;1708636150616;-0.0526421;0.34247273;9.913165
1544;1708636150818;-0.048454657;0.3394817;9.915857
1545;1708636151017;-0.053240303;0.34277186;9.915857
1546;1708636151217;-0.051445685;0.34157544;9.914362
1547;1708636151417;-0.051146585;0.34067813;9.915558
1548;1708636151615;-0.053240303;0.34187454;9.9140625
1549;1708636151817;-0.054735817;0.34187454;9.9140625
1550;1708636152018;-0.05174479;0.33918262;9.91496
1551;1708636152215;-0.05383851;0.34187454;9.91466
1552;1708636152416;-0.054137614;0.34337005;9.915857
1553;1708636152617;-0.051146585;0.33738798;9.91496
1554;1708636152816;-0.055932228;0.34127632;9.922138
1555;1708636153019;-0.025124637;0.33080772;9.908679
1556;1708636153215;-0.04995017;0.34097722;9.917053
1557;1708636153417;-0.050847482;0.3394817;9.91496
1558;1708636153616;-0.050249275;0.33738798;9.912567
1559;1708636153816;-0.010169496;-0.7423732;10.075279
1560;1708636154016;-1.1850454;-6.9092755;13.7425785
1561;1708636154218;1.0100702;0.97836536;15.300306
1562;1708636154416;0.8706883;3.286542;8.520842
1563;1708636154617;3.5901313;1.7599211;5.191827
1564;1708636154815;2.6853452;3.1289146;4.173083
1565;1708636155018;4.4171505;5.0542397;4.9995036
1566;1708636155216;5.026124;4.688437;6.6595244
1567;1708636155416;4.723731;4.9660044;7.184749
1568;1708636155618;4.502993;5.3039904;6.248557
1569;1708636155815;1.1267203;1.6594225;0.41724846
1570;1708636156018;-0.3592225;-0.01585245;0.47138608
1571;1708636156217;-0.19680966;-0.12263216;1.0983056
1572;1708636156415;-1.332204;11.237593;22.318455
1573;1708636156615;2.2381866;1.8158532;7.4042907
1574;1708636156815;1.9522442;2.5923243;8.651549
